# tesseract.js perRow.js baseline — XP and Adena on the 41 POC screenshots
# generated from /tmp/perrow-baseline.log (2026-09-02)
file	xp	adena
Zrzut ekranu 2026-08-10 014935.png	506625	59493
Zrzut ekranu 2026-08-10 125628.png	1165047	181963
Zrzut ekranu 2026-08-10 125918.png	1596804	233184
Zrzut ekranu 2026-08-10 131926.png	1252848	156362
Zrzut ekranu 2026-08-10 135720.png	2817181	320649
Zrzut ekranu 2026-08-10 210911.png	1476314	122844
Zrzut ekranu 2026-08-10 221324.png	6499614	548975
Zrzut ekranu 2026-08-11 091026.png	66618305	6166064
Zrzut ekranu 2026-08-11 131458.png	8497052	1236978
Zrzut ekranu 2026-08-11 160354.png	6293228	653949
Zrzut ekranu 2026-08-11 161945.png	740344	75562
Zrzut ekranu 2026-08-11 163243.png	2355985	244695
Zrzut ekranu 2026-08-11 201009.png	26463957	2516947
Zrzut ekranu 2026-08-13 140030.png	31265161	3426205
Zrzut ekranu 2026-08-14 233835.png	684936	51286
Zrzut ekranu 2026-08-15 004309.png	2829861	253141
Zrzut ekranu 2026-08-15 020911.png	14213378	1303745
Zrzut ekranu 2026-08-15 021535.png	813068	62878
Zrzut ekranu 2026-08-15 021613.png	857010	70633
Zrzut ekranu 2026-08-15 024119.png	4675303	401602
Zrzut ekranu 2026-08-15 100714.png	75292634	5949620
Zrzut ekranu 2026-08-16 005913.png	2040156	220996
Zrzut ekranu 2026-08-16 162440.png	23129853	2499433
Zrzut ekranu 2026-08-18 123413.png	3807660	404913
Zrzut ekranu 2026-08-18 134551.png	13016781	1607501
Zrzut ekranu 2026-08-18 161038.png	11997561	1071437
Zrzut ekranu 2026-08-22 155458.png	1455276	111763
Zrzut ekranu 2026-08-22 164428.png	11395778	1003718
Zrzut ekranu 2026-08-22 235004.png	22921247	862159
Zrzut ekranu 2026-08-22 235757.png	28738727	1069223
Zrzut ekranu 2026-08-31 003834.png	279778025	14569006
Zrzut ekranu 2026-08-31 003839.png	279805752	14573121
Zrzut ekranu 2026-08-31 003844.png	280151853	14573121
Zrzut ekranu 2026-08-31 004420.png	282744857	14703602
Zrzut ekranu 2026-08-31 004425.png	282779367	14707047
Zrzut ekranu 2026-08-31 004428.png	282799591	14709361
Zrzut ekranu 2026-08-31 004608.png	283473134	14745304
Zrzut ekranu 2026-08-31 004617.png	283496182	14748338
Zrzut ekranu 2026-08-31 004624.png	283857481	14748338
Zrzut ekranu 2026-08-31 004630.png	283881103	14750405
Zrzut ekranu 2026-08-31 004632.png	283890730	14751635
