# tesseract.js perRow.js baseline — lamp XP on the 41 POC screenshots
# generated from /tmp/perrow-baseline.log (2026-09-02)
# read=yes means all four parsed and sum <= dialog XP.
# closed=yes is a collapsed Magic Lamp panel (no colour names, farm fields read).
# 004630/004632 Purple 449250000 is the 10× leading-digit case the sum gate discards.
file	red	purple	blue	green	read	closed
Zrzut ekranu 2026-08-10 014935.png	260000	0	0	0	yes	no
Zrzut ekranu 2026-08-10 125628.png	0	200000	360000	0	yes	no
Zrzut ekranu 2026-08-10 125918.png	260000	200000	360000	0	yes	no
Zrzut ekranu 2026-08-10 131926.png	0	200000	360000	0	yes	no
Zrzut ekranu 2026-08-10 135720.png	260000	600000	360000	160000	yes	no
Zrzut ekranu 2026-08-10 210911.png	0	200000	540000	0	yes	no
Zrzut ekranu 2026-08-10 221324.png	780000	1200000	1080000	160000	yes	no
Zrzut ekranu 2026-08-11 091026.png	8060000	12600000	10080000	2720000	yes	no
Zrzut ekranu 2026-08-11 131458.png	1040000	1800000	1080000	320000	yes	no
Zrzut ekranu 2026-08-11 160354.png	0	1000000	1980000	0	yes	no
Zrzut ekranu 2026-08-11 161945.png	0	200000	180000	0	yes	no
Zrzut ekranu 2026-08-11 163243.png	260000	400000	540000	0	yes	no
Zrzut ekranu 2026-08-11 201009.png	3900000	4600000	4140000	800000	yes	no
Zrzut ekranu 2026-08-13 140030.png	3900000	3400000	4140000	1280000	yes	no
Zrzut ekranu 2026-08-14 233835.png	0	400000	0	0	yes	no
Zrzut ekranu 2026-08-15 004309.png	780000	400000	180000	160000	yes	no
Zrzut ekranu 2026-08-15 020911.png	2340000	2800000	1800000	320000	yes	no
Zrzut ekranu 2026-08-15 021535.png	260000	200000	0	0	yes	no
Zrzut ekranu 2026-08-15 021613.png	260000	200000	0	0	yes	no
Zrzut ekranu 2026-08-15 024119.png	780000	800000	540000	320000	yes	no
Zrzut ekranu 2026-08-15 100714.png	11440000	10800000	13320000	2400000	yes	no
Zrzut ekranu 2026-08-16 005913.png	260000	600000	0	160000	yes	no
Zrzut ekranu 2026-08-16 162440.png	1300000	2600000	6480000	800000	yes	no
Zrzut ekranu 2026-08-18 123413.png	780000	400000	720000	0	yes	no
Zrzut ekranu 2026-08-18 134551.png	1300000	1800000	2520000	800000	yes	no
Zrzut ekranu 2026-08-18 161038.png	1040000	2000000	2520000	320000	yes	no
Zrzut ekranu 2026-08-22 155458.png	260000	400000	180000	0	yes	no
Zrzut ekranu 2026-08-22 164428.png	1040000	2200000	2520000	0	yes	no
Zrzut ekranu 2026-08-22 235004.png	3640000	3200000	3600000	1120000	yes	no
Zrzut ekranu 2026-08-22 235757.png	5200000	3600000	4680000	1120000	yes	no
Zrzut ekranu 2026-08-31 003834.png	31525000	43500000	49500000	14400000	yes	no
Zrzut ekranu 2026-08-31 003839.png	31525000	43500000	49500000	14400000	yes	no
Zrzut ekranu 2026-08-31 003844.png	31850000	43500000	49500000	14400000	yes	no
Zrzut ekranu 2026-08-31 004420.png	32175000	44250000	49725000	14400000	yes	no
Zrzut ekranu 2026-08-31 004425.png	32175000	44250000	49725000	14400000	yes	no
Zrzut ekranu 2026-08-31 004428.png	FAILED	FAILED	FAILED	FAILED	no	yes
Zrzut ekranu 2026-08-31 004608.png	FAILED	FAILED	FAILED	FAILED	no	yes
Zrzut ekranu 2026-08-31 004617.png	FAILED	FAILED	FAILED	FAILED	no	yes
Zrzut ekranu 2026-08-31 004624.png	FAILED	FAILED	FAILED	FAILED	no	yes
Zrzut ekranu 2026-08-31 004630.png	32825000	449250000	49725000	14400000	no	no
Zrzut ekranu 2026-08-31 004632.png	32825000	449250000	49725000	14400000	no	no
