# tesseract.js perRow.js baseline — minimap location hint on the 41 POC screenshots
# generated from /tmp/perrow-baseline.log (2026-09-02)
# empty = not visible (dialog-only crops and framed shots without HUD). Target: 3 HUD shots get a hint; dialog-only get nothing.
file	hint
Zrzut ekranu 2026-08-10 014935.png	(none)
Zrzut ekranu 2026-08-10 125628.png	(none)
Zrzut ekranu 2026-08-10 125918.png	(none)
Zrzut ekranu 2026-08-10 131926.png	(none)
Zrzut ekranu 2026-08-10 135720.png	(none)
Zrzut ekranu 2026-08-10 210911.png	(none)
Zrzut ekranu 2026-08-10 221324.png	(none)
Zrzut ekranu 2026-08-11 091026.png	(none)
Zrzut ekranu 2026-08-11 131458.png	(none)
Zrzut ekranu 2026-08-11 160354.png	(none)
Zrzut ekranu 2026-08-11 161945.png	(none)
Zrzut ekranu 2026-08-11 163243.png	(none)
Zrzut ekranu 2026-08-11 201009.png	(none)
Zrzut ekranu 2026-08-13 140030.png	(none)
Zrzut ekranu 2026-08-14 233835.png	(none)
Zrzut ekranu 2026-08-15 004309.png	(none)
Zrzut ekranu 2026-08-15 020911.png	(none)
Zrzut ekranu 2026-08-15 021535.png	(none)
Zrzut ekranu 2026-08-15 021613.png	(none)
Zrzut ekranu 2026-08-15 024119.png	(none)
Zrzut ekranu 2026-08-15 100714.png	(none)
Zrzut ekranu 2026-08-16 005913.png	(none)
Zrzut ekranu 2026-08-16 162440.png	(none)
Zrzut ekranu 2026-08-18 123413.png	(none)
Zrzut ekranu 2026-08-18 134551.png	(none)
Zrzut ekranu 2026-08-18 161038.png	(none)
Zrzut ekranu 2026-08-22 155458.png	(none)
Zrzut ekranu 2026-08-22 164428.png	(none)
Zrzut ekranu 2026-08-22 235004.png	(none)
Zrzut ekranu 2026-08-22 235757.png	(none)
Zrzut ekranu 2026-08-31 003834.png	(none)
Zrzut ekranu 2026-08-31 003839.png	(none)
Zrzut ekranu 2026-08-31 003844.png	(none)
Zrzut ekranu 2026-08-31 004420.png	(none)
Zrzut ekranu 2026-08-31 004425.png	(none)
Zrzut ekranu 2026-08-31 004428.png	(none)
Zrzut ekranu 2026-08-31 004608.png	(none)
Zrzut ekranu 2026-08-31 004617.png	Dragon Valley (east)
Zrzut ekranu 2026-08-31 004624.png	Dragon Valley (east)
Zrzut ekranu 2026-08-31 004630.png	Dragon Valley (east)
Zrzut ekranu 2026-08-31 004632.png	(none)
