# tesseract.js perRow.js baseline — play time (minutes) on the 41 POC screenshots
# generated from /tmp/perrow-baseline.log (2026-09-02)
# FAILED = unread (3 of 41). Target for WinOCR: 38/41 readable.
file	minutes
Zrzut ekranu 2026-08-10 014935.png	4
Zrzut ekranu 2026-08-10 125628.png	9
Zrzut ekranu 2026-08-10 125918.png	12
Zrzut ekranu 2026-08-10 131926.png	12
Zrzut ekranu 2026-08-10 135720.png	25
Zrzut ekranu 2026-08-10 210911.png	FAILED
Zrzut ekranu 2026-08-10 221324.png	63
Zrzut ekranu 2026-08-11 091026.png	547
Zrzut ekranu 2026-08-11 131458.png	63
Zrzut ekranu 2026-08-11 160354.png	40
Zrzut ekranu 2026-08-11 161945.png	6
Zrzut ekranu 2026-08-11 163243.png	19
Zrzut ekranu 2026-08-11 201009.png	214
Zrzut ekranu 2026-08-13 140030.png	170
Zrzut ekranu 2026-08-14 233835.png	8
Zrzut ekranu 2026-08-15 004309.png	19
Zrzut ekranu 2026-08-15 020911.png	105
Zrzut ekranu 2026-08-15 021535.png	4
Zrzut ekranu 2026-08-15 021613.png	5
Zrzut ekranu 2026-08-15 024119.png	30
Zrzut ekranu 2026-08-15 100714.png	476
Zrzut ekranu 2026-08-16 005913.png	11
Zrzut ekranu 2026-08-16 162440.png	128
Zrzut ekranu 2026-08-18 123413.png	21
Zrzut ekranu 2026-08-18 134551.png	70
Zrzut ekranu 2026-08-18 161038.png	59
Zrzut ekranu 2026-08-22 155458.png	6
Zrzut ekranu 2026-08-22 164428.png	55
Zrzut ekranu 2026-08-22 235004.png	33
Zrzut ekranu 2026-08-22 235757.png	41
Zrzut ekranu 2026-08-31 003834.png	672
Zrzut ekranu 2026-08-31 003839.png	672
Zrzut ekranu 2026-08-31 003844.png	672
Zrzut ekranu 2026-08-31 004420.png	FAILED
Zrzut ekranu 2026-08-31 004425.png	677
Zrzut ekranu 2026-08-31 004428.png	678
Zrzut ekranu 2026-08-31 004608.png	679
Zrzut ekranu 2026-08-31 004617.png	679
Zrzut ekranu 2026-08-31 004624.png	FAILED
Zrzut ekranu 2026-08-31 004630.png	680
Zrzut ekranu 2026-08-31 004632.png	680
